,title,views, data_time,video_link,thumbnail_link
0,"I went to the House of a Microsoft Software Engineer | Resume Revealed |SDE Roadmap, Salary, Perks",629 views,2 hours ago,https://www.youtube.com/watch?v=nQ-dpHJPS2c,https://i.ytimg.com/vi/nQ-dpHJPS2c/hqdefault.jpg
1,The Only Cyber Security Roadmap you need for 2025 |,797 views,20 hours ago,https://www.youtube.com/watch?v=0CMNIpd-s_c,https://i.ytimg.com/vi/0CMNIpd-s_c/hqdefault.jpg
2,GeeksforGeeks is going to rock the world of Education with this move!,1.5K views,2 days ago,https://www.youtube.com/watch?v=Na5zVw3g9So,https://i.ytimg.com/vi/Na5zVw3g9So/hqdefault.jpg
3,How to get a job in MAANG as a College Student ? | Tips and Hacks | Roadmap,3.7K views,2 days ago,https://www.youtube.com/watch?v=dE-MlQnCT78,https://i.ytimg.com/vi/dE-MlQnCT78/hqdefault.jpg
4,Get your Dream Internship in the First Year of College | Step by Step Guide,764 views,3 days ago,https://www.youtube.com/watch?v=89A8dNvjLYw,https://i.ytimg.com/vi/89A8dNvjLYw/hqdefault.jpg
5,GfG Practice Channel Now Home to GfG 160 Challenge New Videos!,560 views,3 days ago,https://www.youtube.com/watch?v=_l2tH4saDl4,https://i.ytimg.com/vi/_l2tH4saDl4/hqdefault.jpg
6,GfG 160 | Day- 42 | Pair with given sum - 2Sum | 160 Days Daily DSA Problem Solving | GeeksforGeeks,502 views,4 days ago,https://www.youtube.com/watch?v=gkps-WFPHYI,https://i.ytimg.com/vi/gkps-WFPHYI/hqdefault.jpg
7,These 7 AI Projects will give you an UNFAIR Advantage  | Get Placed,1K views,5 days ago,https://www.youtube.com/watch?v=cm1oKGS3mP4,https://i.ytimg.com/vi/cm1oKGS3mP4/hqdefault.jpg
8,GfG 160 | Day- 41 | Set Matrix Zeroes | 160 Days Daily DSA Problem Solving | GeeksforGeeks,453 views,5 days ago,https://www.youtube.com/watch?v=rOcXfIP3vps,https://i.ytimg.com/vi/rOcXfIP3vps/hqdefault.jpg
9,GfG 160 | Day- 40 | Search in a Sorted Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,507 views,6 days ago,https://www.youtube.com/watch?v=maEcp5OXLgg,https://i.ytimg.com/vi/maEcp5OXLgg/hqdefault.jpg
10,FREE GATE Test Series 2025 by GeeksforGeeks,717 views,7 days ago,https://www.youtube.com/watch?v=au6Ui7tnPxI,https://i.ytimg.com/vi/au6Ui7tnPxI/hqdefault.jpg
11,GfG 160 | Day- 39 | Search in a row-wise sorted | 160 Days Daily DSA Problem Solving | GeeksforGeeks,458 views,7 days ago,https://www.youtube.com/watch?v=ln6LYCHeris,https://i.ytimg.com/vi/ln6LYCHeris/hqdefault.jpg
12,GfG 160 | Day- 38 | Search in a Row-wise and Column-wise Sorted | 160 Days Daily DSA Problem Solving,528 views,8 days ago,https://www.youtube.com/watch?v=aZdTzG-OmLU,https://i.ytimg.com/vi/aZdTzG-OmLU/hqdefault.jpg
13,GfG 160 | Day- 37 | Rotate Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,564 views,9 days ago,https://www.youtube.com/watch?v=RUQF765u8CY,https://i.ytimg.com/vi/RUQF765u8CY/hqdefault.jpg
14,GfG 160 | Day- 36 | Spiral Traversal | 160 Days Daily DSA Problem Solving | GeeksforGeeks,552 views,10 days ago,https://www.youtube.com/watch?v=vI67TeaN6bg,https://i.ytimg.com/vi/vI67TeaN6bg/hqdefault.jpg
15,Fastest way to become a AI Engineer in 2025 | *Free Resources Inside*,1.4K views,10 days ago,https://www.youtube.com/watch?v=kAiqXF3TyVg,https://i.ytimg.com/vi/kAiqXF3TyVg/hqdefault.jpg
16,GfG 160 | Day- 35 | Kth Missing Positive Number | 160 Days Daily DSA Problem Solving | GeeksforGeeks,562 views,11 days ago,https://www.youtube.com/watch?v=Z2UNcqPXOPc,https://i.ytimg.com/vi/Z2UNcqPXOPc/hqdefault.jpg
17,GeeksforGeeks Classes- Now in Hyderabad!,1.8K views,11 days ago,https://www.youtube.com/watch?v=fvPrYPgDONY,https://i.ytimg.com/vi/fvPrYPgDONY/hqdefault.jpg
18,GfG 160 | Day- 34 | Allocate Minimum Pages | 160 Days Daily DSA Problem Solving | GeeksforGeeks,566 views,12 days ago,https://www.youtube.com/watch?v=POVcprzEWq4,https://i.ytimg.com/vi/POVcprzEWq4/hqdefault.jpg
19,GfG 160 | Day- 33 | Aggressive Cows | 160 Days Daily DSA Problem Solving | GeeksforGeeks,570 views,13 days ago,https://www.youtube.com/watch?v=xUBzyf-EixQ,https://i.ytimg.com/vi/xUBzyf-EixQ/hqdefault.jpg
20,GfG 160 | Day- 32 | K-th Element of Merged Two Sorted Arrays | 160 Days Daily DSA Problem Solving,689 views,2 weeks ago,https://www.youtube.com/watch?v=xgXJ0t_B_24,https://i.ytimg.com/vi/xgXJ0t_B_24/hqdefault.jpg
21,GfG 160 | Day- 31 | Peak Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,561 views,2 weeks ago,https://www.youtube.com/watch?v=AqV-_bIyH30,https://i.ytimg.com/vi/AqV-_bIyH30/hqdefault.jpg
22,GfG 160 | Day- 30 | Search in a Sorted and Rotated Array | 160 Days Daily DSA Problem Solving | GfG,640 views,2 weeks ago,https://www.youtube.com/watch?v=tCZb576NK7k,https://i.ytimg.com/vi/tCZb576NK7k/hqdefault.jpg
23,GfG 160 | Day- 29 | Minimum in a Sorted and Rotated Array | 160 Days Daily DSA Problem Solving | GfG,585 views,2 weeks ago,https://www.youtube.com/watch?v=EtX8zY-DPdE,https://i.ytimg.com/vi/EtX8zY-DPdE/hqdefault.jpg
24,GfG 160 | Day- 28 | Count Occurrences in a Sorted Array | 160 Days Daily DSA Problem Solving | GfG,526 views,2 weeks ago,https://www.youtube.com/watch?v=CofV2PsroxI,https://i.ytimg.com/vi/CofV2PsroxI/hqdefault.jpg
25,GfG 160 | Day- 27 | Merge Two Sorted Arrays Without Extra Space | 160 Days Daily DSA Problem Solving,631 views,2 weeks ago,https://www.youtube.com/watch?v=CtmkAKGVI10,https://i.ytimg.com/vi/CtmkAKGVI10/hqdefault.jpg
26,GfG 160 | Day- 26 | Non-overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,879 views,2 weeks ago,https://www.youtube.com/watch?v=-45THxt4sE8,https://i.ytimg.com/vi/-45THxt4sE8/hqdefault.jpg
27,GfG 160 | Day- 25 | Insert and Merge Interval | 160 Days Daily DSA Problem Solving | GeeksforGeeks,571 views,3 weeks ago,https://www.youtube.com/watch?v=9pN0jPYvJcM,https://i.ytimg.com/vi/9pN0jPYvJcM/hqdefault.jpg
28,GfG 160 | Day- 24 | Merge Overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,579 views,3 weeks ago,https://www.youtube.com/watch?v=NgqBuVrtB9U,https://i.ytimg.com/vi/NgqBuVrtB9U/hqdefault.jpg
29,GfG 160 | Day - 23 | Count Inversions | 160 Days Daily DSA Problem Solving | GeeksforGeeks,729 views,3 weeks ago,https://www.youtube.com/watch?v=XhWxlh1ObDc,https://i.ytimg.com/vi/XhWxlh1ObDc/hqdefault.jpg
30,GfG 160 | Day - 22 | H-Index | 160 Days Daily DSA Problem Solving | GeeksforGeeks,775 views,3 weeks ago,https://www.youtube.com/watch?v=9fA8Pg4Q2QI,https://i.ytimg.com/vi/9fA8Pg4Q2QI/hqdefault.jpg
31,Tech Hiring in 2025: Complete Career Guide by Bain & Company Director,653 views,3 weeks ago,https://www.youtube.com/watch?v=bVQCe5l_cZw,https://i.ytimg.com/vi/bVQCe5l_cZw/hqdefault.jpg
32,"GfG 160 | Day - 21 | Sort an array of 0s, 1s and 2s | 160 Days Daily DSA Problem Solving | GfG",630 views,3 weeks ago,https://www.youtube.com/watch?v=A-ytmX7bXE4,https://i.ytimg.com/vi/A-ytmX7bXE4/hqdefault.jpg
33,GfG 160 | FAQs Video | 160 Days Daily DSA Problem Solving,910 views,3 weeks ago,https://www.youtube.com/watch?v=EQTzVinWQ_g,https://i.ytimg.com/vi/EQTzVinWQ_g/hqdefault.jpg
34,GfG 160 | Day - 20 | String Rotations of each other | 160 Days Daily DSA Problem Solving | GfG,611 views,3 weeks ago,https://www.youtube.com/watch?v=UOLi02in9BE,https://i.ytimg.com/vi/UOLi02in9BE/hqdefault.jpg
35,GeeksforGeeks- A Global Coding Community,439 views,3 weeks ago,https://www.youtube.com/watch?v=hqA1A9AUiWU,https://i.ytimg.com/vi/hqA1A9AUiWU/hqdefault.jpg
